name,path,size_mb,modified,has_transcript,has_analysis
rocketMan_Extend309.mp3,MP3/rocketMan_Extend/rocketMan_Extend309.mp3,3.72,2025-11-29T11:01:03.822377,No,No
SanTa WonT Stop_1.mp3,MP3/SanTa WonT Stop/SanTa WonT Stop_1.mp3,2.24,2026-01-04T16:53:52.515159,No,No
SanTa WonT Stop.mp3,MP3/SanTa WonT Stop/SanTa WonT Stop.mp3,2.26,2026-01-04T16:25:33.634673,No,No
The_Heartland_Doesnt_Speak_duo3550355.mp3,MP3/The_Heartland_Doesnt_Speak_duo3550355/The_Heartland_Doesnt_Speak_duo3550355.mp3,5.19,2025-12-02T01:24:46.629643,Yes,Yes
The_Heartland_Doesnt_Speak_duo3490349.mp3,MP3/The_Heartland_Doesnt_Speak_duo3550355/The_Heartland_Doesnt_Speak_duo3490349.mp3,4.98,2025-12-02T01:24:46.660536,Yes,Yes
The_Heartland_Doesnt_Speak_Edit249.mp3,MP3/The_Heartland_Doesnt_Speak_Edit/The_Heartland_Doesnt_Speak_Edit249.mp3,3.8,2025-12-02T01:24:46.495338,No,No
Beautiful_Mess_Indie_Folk_Acoustic_1.mp3,MP3/Beautiful_Mess_Indie_Folk_Acoustic/Beautiful_Mess_Indie_Folk_Acoustic_1.mp3,5.04,2025-01-02T10:49:08,No,No
Beautiful_Mess_Indie_Folk_Acoustic.mp3,MP3/Beautiful_Mess_Indie_Folk_Acoustic/Beautiful_Mess_Indie_Folk_Acoustic.mp3,5.04,2025-02-02T04:05:02,Yes,Yes
Heartbreak hope and memories-feels.mp3,MP3/Heartbreak hope and memories-feels/Heartbreak hope and memories-feels.mp3,4.54,2025-12-02T01:24:46.893543,No,Yes
The Seven Work Refusals.mp3,MP3/The Seven Work Refusals/The Seven Work Refusals.mp3,4.67,2026-01-04T16:52:44.979625,No,No
Stormy247.mp3,MP3/Stormy/Stormy247.mp3,3.42,2025-12-02T01:24:49.841960,Yes,No
Stormy235236.mp3,MP3/Stormy/Stormy235236.mp3,3.14,2025-12-02T01:24:49.848234,No,No
Stormy235.mp3,MP3/Stormy/Stormy235.mp3,3.45,2025-12-02T01:24:49.849436,Yes,No
Stormy236.mp3,MP3/Stormy/Stormy236.mp3,3.14,2025-12-02T01:24:49.851104,Yes,No
Stormy235247.mp3,MP3/Stormy/Stormy235247.mp3,3.42,2025-12-02T01:24:49.859140,No,No
Stormy235249.mp3,MP3/Stormy/Stormy235249.mp3,3.43,2025-12-02T01:24:49.872875,No,No
Stormy249.mp3,MP3/Stormy/Stormy249.mp3,3.43,2025-12-02T01:24:49.874382,Yes,No
Stormy2350000.mp3,MP3/Stormy/Stormy2350000.mp3,3.45,2025-12-02T01:24:49.890395,No,No
Moonlit_Whispers.mp3,MP3/Moonlit_Whispers/Moonlit_Whispers.mp3,5.46,2025-01-02T10:49:20,Yes,No
ShadowsPurge419.mp3,MP3/ShadowsPurge/ShadowsPurge419.mp3,5.13,2026-01-04T16:49:29.156782,No,No
ShadowsPurge352.mp3,MP3/ShadowsPurge/ShadowsPurge352.mp3,5.01,2026-01-04T16:49:35.236814,No,No
ShadowsPurge442.mp3,MP3/ShadowsPurge/ShadowsPurge442.mp3,5.82,2026-01-04T16:49:36.648778,No,No
ShadowsPurge329.mp3,MP3/ShadowsPurge/ShadowsPurge329.mp3,4.3,2026-01-04T16:49:32.109647,No,No
ShadowsPurge404.mp3,MP3/ShadowsPurge/ShadowsPurge404.mp3,5.19,2026-01-04T16:49:27.820025,No,No
ShadowsPurge428.mp3,MP3/ShadowsPurge/ShadowsPurge428.mp3,5.78,2026-01-04T16:49:26.341370,No,No
ShadowsPurge401.mp3,MP3/ShadowsPurge/ShadowsPurge401.mp3,4.94,2026-01-04T16:49:30.689168,No,No
Beautiful_Mess_Whimsical_Story_1.mp3,MP3/Beautiful_Mess_Whimsical_Story/Beautiful_Mess_Whimsical_Story_1.mp3,5.04,2025-01-02T10:49:08,No,No
Beautiful_Mess_Whimsical_Story.mp3,MP3/Beautiful_Mess_Whimsical_Story/Beautiful_Mess_Whimsical_Story.mp3,5.04,2025-02-02T04:05:00,Yes,Yes
I_Became__Beast_Remix0428.mp3,MP3/I_Became__Beast_Remix/I_Became__Beast_Remix0428.mp3,5.77,2025-12-02T01:24:49.728309,No,No
I_Became_Beast_Remix0428.mp3,MP3/I_Became__Beast_Remix/I_Became_Beast_Remix0428.mp3,5.77,2025-12-02T01:24:49.812415,No,No
Call_for_More218.mp3,MP3/Call_for_More/Call_for_More218.mp3,3.01,2025-12-02T01:24:45.667770,Yes,Yes
Call_for_More0000.mp3,MP3/Call_for_More/Call_for_More0000.mp3,4.54,2025-12-02T01:24:45.679044,Yes,Yes
Call_for_More229.mp3,MP3/Call_for_More/Call_for_More229.mp3,3.09,2025-12-02T01:24:45.699983,No,Yes
Call for More.mp3,MP3/Call_for_More/Call for More.mp3,3.09,2025-12-02T01:24:45.702077,Yes,Yes
Call_for_More328.mp3,MP3/Call_for_More/Call_for_More328.mp3,4.55,2025-12-02T01:24:45.713668,Yes,Yes
