Filename,File Size,Creation Date,Width,Height,DPI_X,DPI_Y,Original Path
1-5-550x367.jpg,33.96 KB,11-03-25,550,367,144,144,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/MyDesign-MostView/mydesigns.io/blog/wp-content/uploads/2025/03/1-5-550x367.jpg
1-5-550x367.jpg,33.96 KB,11-03-25,550,367,144,144,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/03/1-5-550x367.jpg
1-5-768x514.jpg,57.32 KB,11-03-25,768,514,144,144,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/MyDesign-MostView/mydesigns.io/blog/wp-content/uploads/2025/03/1-5-768x514.jpg
1-5-768x514.jpg,57.32 KB,11-03-25,768,514,144,144,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/03/1-5-768x514.jpg
1-5.jpg,438.14 KB,11-03-25,1100,736,144,144,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/MyDesign-MostView/mydesigns.io/blog/wp-content/uploads/2025/03/1-5.jpg
1-5.jpg,438.14 KB,11-03-25,1100,736,144,144,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/03/1-5.jpg
1-6-1024x685.png,680.12 KB,11-03-25,1024,685,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/MyDesign-MostView/mydesigns.io/blog/wp-content/uploads/2025/02/1-6-1024x685.png
1-6-1024x685.png,680.12 KB,11-03-25,1024,685,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/02/1-6-1024x685.png
1-6-150x150.png,38.32 KB,11-03-25,150,150,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/02/1-6-150x150.png
1-6-300x201.png,84.87 KB,11-03-25,300,201,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/MyDesign-MostView/mydesigns.io/blog/wp-content/uploads/2025/02/1-6-300x201.png
1-6-300x201.png,84.87 KB,11-03-25,300,201,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/02/1-6-300x201.png
1-6-300x300.png,115.72 KB,11-03-25,300,300,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/02/1-6-300x300.png
1-6-360x360.png,156.19 KB,11-03-25,360,360,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/02/1-6-360x360.png
1-6-550x367.png,225.21 KB,11-03-25,550,367,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/MyDesign-MostView/mydesigns.io/blog/wp-content/uploads/2025/02/1-6-550x367.png
1-6-550x367.png,225.21 KB,11-03-25,550,367,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/02/1-6-550x367.png
1-6-60x60.png,8.23 KB,11-03-25,60,60,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/02/1-6-60x60.png
1-6-768x514.png,410.17 KB,11-03-25,768,514,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/MyDesign-MostView/mydesigns.io/blog/wp-content/uploads/2025/02/1-6-768x514.png
1-6-768x514.png,410.17 KB,11-03-25,768,514,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/02/1-6-768x514.png
1-6.png,954.41 KB,11-03-25,1100,736,143.99259999999998,143.99259999999998,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/MyDesign-MostView/mydesigns.io/blog/wp-content/uploads/2025/02/1-6.png
1-6.png,954.41 KB,11-03-25,1100,736,143.99259999999998,143.99259999999998,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/02/1-6.png
1-768x474.jpg,65.76 KB,11-03-25,768,474,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/03/1-768x474.jpg
1.jpg,135.36 KB,11-03-25,1280,790,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/03/1.jpg
1.jpg,185.26 KB,11-03-25,550,368,72,72,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/MyDesign-MostView/mydesigns.io/blog/wp-content/uploads/2025/02/1.jpg
1.jpg,185.26 KB,11-03-25,550,368,72,72,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/02/1.jpg
10-250x300.jpg,8.48 KB,11-03-25,250,300,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/03/10-250x300.jpg
10-300x295.png,130.48 KB,11-03-25,300,295,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/03/10-300x295.png
10-60x60.png,7.52 KB,11-03-25,60,60,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/03/10-60x60.png
10.jpg,31.43 KB,11-03-25,500,600,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/03/10.jpg
10.png,402.90 KB,11-03-25,492,484,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/03/10.png
11-250x300.jpg,8.99 KB,11-03-25,250,300,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/03/11-250x300.jpg
11-300x297.png,48.13 KB,11-03-25,300,297,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/03/11-300x297.png
11-60x60.png,3.45 KB,11-03-25,60,60,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/03/11-60x60.png
11-768x760.png,224.40 KB,11-03-25,768,760,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/03/11-768x760.png
11.jpg,31.15 KB,11-03-25,500,600,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/03/11.jpg
11.png,439.79 KB,11-03-25,940,930,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/03/11.png
115831cf-7e56-4c7b-b893-638e166eeea8.jpg,155.44 KB,11-03-25,1024,1024,,,/Users/steven/workspace/archive/reference-files/avatararts-steven-docs/DaLL-E/115831cf-7e56-4c7b-b893-638e166eeea8.jpg
115831cf-7e56-4c7b-b893-638e166eeea8.jpg,155.44 KB,11-03-25,1024,1024,,,/Users/steven/workspace/avatararts-complete/DaLL-E/115831cf-7e56-4c7b-b893-638e166eeea8.jpg
116NcYMnP6AkXYb1SI6Da1uK_1720541467_7279446.jpg,439.74 KB,11-03-25,1792,1024,,,/Users/steven/workspace/archive/reference-files/avatararts-steven-docs/DaLL-E/all/116NcYMnP6AkXYb1SI6Da1uK_1720541467_7279446.jpg
