original_path,new_path,category,size_bytes,is_duplicate
/Users/steven/Documents/HTML/misc/PromptHero 3a2acd4ebfe54f66a79f2d125876057d.html,/Users/steven/Documents/HTML/organized/ai-prompts/PromptHero 3a2acd4ebfe54f66a79f2d125876057d.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 50 a82027a0b43e4c2ab7e0eaad4bc420bb.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 50 a82027a0b43e4c2ab7e0eaad4bc420bb.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 26 0770f49cb0c14550b038e46340d1234e.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 26 0770f49cb0c14550b038e46340d1234e.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 5 c175e623f55e452499ce8c2914312d3e.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 5 c175e623f55e452499ce8c2914312d3e.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/chat-export-10-2be397ec.html,/Users/steven/Documents/HTML/organized/ai-prompts/chat-export-10-2be397ec.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 42 8f146d1fd9c44707a052a81d1d1e55cf.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 42 8f146d1fd9c44707a052a81d1d1e55cf.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 14 1915a6545ea54a41ad848608b85880db.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 14 1915a6545ea54a41ad848608b85880db.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 16 0af1989ae3de4f8ba23b2d165c5fca85.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 16 0af1989ae3de4f8ba23b2d165c5fca85.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/new-awesome-prompts-2-7-a278d0e7.html,/Users/steven/Documents/HTML/organized/ai-prompts/new-awesome-prompts-2-7-a278d0e7.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 5 6b7e34eeb492438390f61cf1820a9910.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 5 6b7e34eeb492438390f61cf1820a9910.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 35 c90c7c47fbc44be4a047f40487d6add3.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 35 c90c7c47fbc44be4a047f40487d6add3.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/detailed and descriptive image prompts.html,/Users/steven/Documents/HTML/organized/ai-prompts/detailed and descriptive image prompts.html,ai-prompts,0,False
